,description,displaySymbol,symbol,type
627,ABRAU-DURSO PJSC,ABRD.ME,ABRD,Common Stock
628,GAZ-TEK PJSC,GAZT.ME,GAZT,Common Stock
629,HUMANA INC,HUM-RM.ME,HUM-RM,Common Stock
630,BSPB CORP OBLIGATSII,SPBC.ME,SPBC,ETP
631,REGENERON PHARMACEUTICALS,REGN-RM.ME,REGN-RM,Common Stock
632,ESTEE LAUDER COMPANIES-CL A,EL-RM.ME,EL-RM,Common Stock
633,GEOTECH SEISMIC SERVICES PJS,GTSS.ME,GTSS,Common Stock
634,KYNDRYL HOLDINGS INC,KD-RM.ME,KD-RM,Common Stock
635,TIN'KOFF NASDAK TEKHNOLOGII,TECH.ME,TECH,ETP
636,FINEX US TIPS UCITS ETF,FXTP.ME,FXTP,ETP
637,MOSTOTREST PJSC,MSTT.ME,MSTT,Common Stock
638,YAKUTSK FUEL-ENERGY CO PJSC,YAKG.ME,YAKG,Common Stock
639,ROSSETI PJSC,RSTI.ME,RSTI,Common Stock
640,ARES CAPITAL CORP,ARCC-RM.ME,ARCC-RM,Common Stock
641,BOX INC - CLASS A,BOX-RM.ME,BOX-RM,Common Stock
642,AMEREN CORPORATION,AEE-RM.ME,AEE-RM,Common Stock
643,XPENG INC - ADR,XPEV-RM.ME,XPEV-RM,ADR
644,T-MOBILE US INC,TMUS-RM.ME,TMUS-RM,Common Stock
645,PROGRESSIVE CORP,PGR-RM.ME,PGR-RM,Common Stock
646,LOWE'S COS INC,LOW-RM.ME,LOW-RM,Common Stock
647,WORLD TRADE CENTER MOSCOW,WTCM.ME,WTCM,Common Stock
648,CONSTELLATION BRANDS INC-A,STZ-RM.ME,STZ-RM,Common Stock
649,DARDEN RESTAURANTS INC,DRI-RM.ME,DRI-RM,Common Stock
650,EBAY INC,EBAY-RM.ME,EBAY-RM,Common Stock
651,BOEING CO/THE,BA-RM.ME,BA-RM,Common Stock
652,TINKOFF EUROBONDS IN EURO,TBEU.ME,TBEU,ETP
653,BERKSHIRE HATHAWAY INC-CL B,BRKB-RM.ME,BRKB-RM,Common Stock
654,BECTON DICKINSON AND CO,BDX-RM.ME,BDX-RM,Common Stock
655,ASSURANT INC,AIZ-RM.ME,AIZ-RM,Common Stock
656,INVITAE CORP,NVTA-RM.ME,NVTA-RM,Common Stock
657,THERMO FISHER SCIENTIFIC INC,TMO-RM.ME,TMO-RM,Common Stock
658,AMERICAN WATER WORKS CO INC,AWK-RM.ME,AWK-RM,Common Stock
659,INTERNATIONAL PAPER CO,IP-RM.ME,IP-RM,Common Stock
660,DISCOVERY INC - A,DISCA-RM.ME,DISCA-RM,Common Stock
661,RUSSNEFT PJSC,RNFT.ME,RNFT,Common Stock
662,QUALCOMM INC,QCOM-RM.ME,QCOM-RM,Common Stock
663,VYBORG SHIPYARD JSC,VSYD.ME,VSYD,Common Stock
664,POLYMETAL INTERNATIONAL PLC,POLY.ME,POLY,Common Stock
665,IRKUTSKENERGO PJSC,IRGZ.ME,IRGZ,Common Stock
666,FIDELITY NATIONAL INFO SERV,FIS-RM.ME,FIS-RM,Common Stock
667,BLUEBIRD BIO INC,BLUE-RM.ME,BLUE-RM,Common Stock
668,KUBANENERGO PJSC,KUBE.ME,KUBE,Common Stock
669,FMC CORP,FMC-RM.ME,FMC-RM,Common Stock
670,AMERICAN INTERNATIONAL GROUP,AIG-RM.ME,AIG-RM,Common Stock
671,SBER PROGRESSIVE SMART FUND,SBPS.ME,SBPS,ETP
672,AMGEN INC,AMGN-RM.ME,AMGN-RM,Common Stock
673,ACADEMY SPORTS & OUTDOORS IN,ASO-RM.ME,ASO-RM,Common Stock
674,CARMAX INC,KMX-RM.ME,KMX-RM,Common Stock
675,ZOOM VIDEO COMMUNICATIONS-A,ZM-RM.ME,ZM-RM,Common Stock
676,SBERBANK OF RUSSIA PJSC,SBER.ME,SBER,Common Stock
677,DICK'S SPORTING GOODS INC,DKS-RM.ME,DKS-RM,Common Stock
678,AMGM ETF GOLD MINERS,AMGM.ME,AMGM,ETP
679,APPLE INC,AAPL-RM.ME,AAPL-RM,Common Stock
680,TAMBOV ENERGY RETAIL CO PJSC,TASB.ME,TASB,Common Stock
681,ILLUMINA INC,ILMN-RM.ME,ILMN-RM,Common Stock
682,BLOCK INC,SQ-RM.ME,SQ-RM,Common Stock
683,CLOROX COMPANY,CLX-RM.ME,CLX-RM,Common Stock
684,AMAZON.COM INC,AMZN-RM.ME,AMZN-RM,Common Stock
685,SPLUNK INC,SPLK-RM.ME,SPLK-RM,Common Stock
686,ZOETIS INC,ZTS-RM.ME,ZTS-RM,Common Stock
687,MONOLITHIC POWER SYSTEMS INC,MPWR-RM.ME,MPWR-RM,Common Stock
688,SONOS INC,SONO-RM.ME,SONO-RM,Common Stock
689,CDW CORP/DE,CDW-RM.ME,CDW-RM,Common Stock
690,LEVENHUK INC,LVHK.ME,LVHK,Common Stock
691,SOVCOMFLOT OAO,FLOT.ME,FLOT,Common Stock
692,ZIONS BANCORP NA,ZION-RM.ME,ZION-RM,Common Stock
693,OPNS ETF OTKRYTIE US STOCKS,OPNS.ME,OPNS,ETP
694,CUMMINS INC,CMI-RM.ME,CMI-RM,Common Stock
695,RESMED INC,RMD-RM.ME,RMD-RM,Common Stock
696,NOVARTIS AG-SPONSORED ADR,NVS-RM.ME,NVS-RM,ADR
697,VERISIGN INC,VRSN-RM.ME,VRSN-RM,Common Stock
698,ALASKA AIR GROUP INC,ALK-RM.ME,ALK-RM,Common Stock
699,HARLEY-DAVIDSON INC,HOG-RM.ME,HOG-RM,Common Stock
700,KUIBYSHEVAZOT PJSC,KAZT.ME,KAZT,Common Stock
701,SEGEZHA GROUP PJSC,SGZH.ME,SGZH,Common Stock
702,ETF AKCH ALFA CHINESE EQTY,AKCH.ME,AKCH,ETP
703,WESTERN DIGITAL CORP,WDC-RM.ME,WDC-RM,Common Stock
704,MOSAIC CO/THE,MOS-RM.ME,MOS-RM,Common Stock
705,BILIBILI INC-SPONSORED ADR,BILI-RM.ME,BILI-RM,ADR
706,NOVOLIPETSK STEEL PJSC,NLMK.ME,NLMK,Common Stock
707,EOG RESOURCES INC,EOG-RM.ME,EOG-RM,Common Stock
708,TAL EDUCATION GROUP- ADR,TAL-RM.ME,TAL-RM,ADR
709,TAKE-TWO INTERACTIVE SOFTWRE,TTWO-RM.ME,TTWO-RM,Common Stock
710,TIN'KOFF INDEKS MOSBIRZHI,TMOS.ME,TMOS,ETP
711,TFNX ETF TINKOFF FINTECH,TFNX.ME,TFNX,ETP
712,FINEX VIDEO GAMING AND ESPOR,FXES.ME,FXES,ETP
713,TYSON FOODS INC-CL A,TSN-RM.ME,TSN-RM,Common Stock
714,CENTRAL TELEGRAPH PJSC,CNTL.ME,CNTL,Common Stock
715,MOSCOW UNITED ELECTRIC GRID,MSRS.ME,MSRS,Common Stock
716,CARRIER GLOBAL CORP,CARR-RM.ME,CARR-RM,Common Stock
717,NEFAZ PJSC,NFAZ.ME,NFAZ,Common Stock
718,MOTOROLA SOLUTIONS INC,MSI-RM.ME,MSI-RM,Common Stock
719,FINEX GLOBAL EQUITY ETF USD,FXWO.ME,FXWO,ETP
720,TMK PJSC,TRMK.ME,TRMK,Common Stock
721,UTS PJSC,GRNT.ME,GRNT,Common Stock
722,L3HARRIS TECHNOLOGIES INC,LHX-RM.ME,LHX-RM,Common Stock
723,TIN'KOFF ZOLOTO,TGLD.ME,TGLD,ETP
724,TNS ENERGO YAROSAVL PJSC,YRSB.ME,YRSB,Common Stock
725,CENTENE CORP,CNC-RM.ME,CNC-RM,Common Stock
726,LOUISIANA-PACIFIC CORP,LPX-RM.ME,LPX-RM,Common Stock
727,SURGUTNEFTEGAS PJSC,SNGS.ME,SNGS,Common Stock
728,VERIZON COMMUNICATIONS INC,VZ-RM.ME,VZ-RM,Common Stock
729,2SEVENTY BIO INC,TSVT-RM.ME,TSVT-RM,Common Stock
730,WR BERKLEY CORP,WRB-RM.ME,WRB-RM,Common Stock
731,NEWELL BRANDS INC,NWL-RM.ME,NWL-RM,Common Stock
732,PIK GROUP PJSC,PIKK.ME,PIKK,Common Stock
733,BANK OF AMERICA CORP,BAC-RM.ME,BAC-RM,Common Stock
734,COMCAST CORP-CLASS A,CMCSA-RM.ME,CMCSA-RM,Common Stock
735,VEON LTD,VIP-ME.ME,VIP-ME,ADR
736,IZHSTAL OJSC,IGST.ME,IGST,Common Stock
737,FORTINET INC,FTNT-RM.ME,FTNT-RM,Common Stock
738,LORDSTOWN MOTORS CORP-CL A,RIDE-RM.ME,RIDE-RM,Common Stock
739,WEC ENERGY GROUP INC,WEC-RM.ME,WEC-RM,Common Stock
740,SLAVNEFT-MEGIONNEFTEGAZ OJSC,MFGS.ME,MFGS,Common Stock
741,EVERGY INC,EVRG-RM.ME,EVRG-RM,Common Stock
742,GENERAL MILLS INC,GIS-RM.ME,GIS-RM,Common Stock
743,ORASURE TECHNOLOGIES INC,OSUR-RM.ME,OSUR-RM,Common Stock
744,WASTE MANAGEMENT INC,WM-RM.ME,WM-RM,Common Stock
745,MRSK YUGA PJSC,MRKY.ME,MRKY,Common Stock
746,RUSPOLIMET OJSC,RUSP.ME,RUSP,Common Stock
747,PPL CORP,PPL-RM.ME,PPL-RM,Common Stock
748,HOWMET AEROSPACE INC,HWM-RM.ME,HWM-RM,Common Stock
749,STAVROPOLENERGOSBYT PJSC,STSB.ME,STSB,Common Stock
750,CONSOLIDATED EDISON INC,ED-RM.ME,ED-RM,Common Stock
751,JOHNSON & JOHNSON,JNJ-RM.ME,JNJ-RM,Common Stock
752,MARVELL TECHNOLOGY INC,MRVL-RM.ME,MRVL-RM,Common Stock
753,JUNIPER NETWORKS INC,JNPR-RM.ME,JNPR-RM,Common Stock
754,ETF AKMD ALFA MEDICINE,AKMD.ME,AKMD,ETP
755,LAS VEGAS SANDS CORP,LVS-RM.ME,LVS-RM,Common Stock
756,FINEX FALANG RUB HDG,FXRD.ME,FXRD,ETP
757,ZVEZDA PJSC,ZVEZ.ME,ZVEZ,Common Stock
758,NASDAQ INC,NDAQ-RM.ME,NDAQ-RM,Common Stock
759,INGOSS RUS BBB- 1-3 BOND ETF,INGO.ME,INGO,ETP
760,MARTIN MARIETTA MATERIALS,MLM-RM.ME,MLM-RM,Common Stock
761,MEGAFON PJSC,MFON.ME,MFON,Common Stock
762,INTUITIVE SURGICAL INC,ISRG-RM.ME,ISRG-RM,Common Stock
763,AUTODESK INC,ADSK-RM.ME,ADSK-RM,Common Stock
764,PERMENERGOSBYT PJSC,PMSB.ME,PMSB,Common Stock
765,HASBRO INC,HAS-RM.ME,HAS-RM,Common Stock
766,UNITED WAGON CO PJSC,UWGN.ME,UWGN,Common Stock
767,VARYEGANNEFTEGAZ PJSC,VJGZ.ME,VJGZ,Common Stock
768,UNITED CREDIT SYSTEMS PJSC,UCSS.ME,UCSS,Common Stock
769,DOORDASH INC - A,DASH-RM.ME,DASH-RM,Common Stock
770,EQUIFAX INC,EFX-RM.ME,EFX-RM,Common Stock
771,COTY INC-CL A,COTY-RM.ME,COTY-RM,Common Stock
772,SBER WEIGHTED SMART ETF,SBWS.ME,SBWS,ETP
773,HOLLYFRONTIER CORP,HFC-RM.ME,HFC-RM,Common Stock
774,VTB BANK PJSC,VTBR.ME,VTBR,Common Stock
775,COOPER COS INC/THE,COO-RM.ME,COO-RM,Common Stock
776,SOLIKAMSK MAGNESIUM PLANT OJ,MGNZ.ME,MGNZ,Common Stock
777,G1 THERAPEUTICS INC,GTHX-RM.ME,GTHX-RM,Common Stock
778,HELLO GROUP INC -SPN ADR,MOMO-RM.ME,MOMO-RM,ADR
779,RUSGRAIN HOLDING OJSC,RUGR.ME,RUGR,Common Stock
780,TCBR ETF TINKOFF CYBER,TCBR.ME,TCBR,ETP
781,BROADRIDGE FINANCIAL SOLUTIO,BR-RM.ME,BR-RM,Common Stock
782,HUNT (JB) TRANSPRT SVCS INC,JBHT-RM.ME,JBHT-RM,Common Stock
783,AMERICAN AIRLINES GROUP INC,AAL-RM.ME,AAL-RM,Common Stock
784,ELECTRONIC ARTS INC,EA-RM.ME,EA-RM,Common Stock
785,MCKESSON CORP,MCK-RM.ME,MCK-RM,Common Stock
786,SPIRIT AEROSYSTEMS HOLD-CL A,SPR-RM.ME,SPR-RM,Common Stock
787,PFIZER INC,PFE-RM.ME,PFE-RM,Common Stock
788,ORGANON & CO,OGN-RM.ME,OGN-RM,Common Stock
789,SBER RATIONAL SMART FUND,SBRS.ME,SBRS,ETP
790,IDEX CORP,IEX-RM.ME,IEX-RM,Common Stock
791,NEXTERA ENERGY INC,NEE-RM.ME,NEE-RM,Common Stock
792,FINEX US REIT UCITS ETF,FXRE.ME,FXRE,ETP
793,MTEK ETF LEADERS TECH,MTEK.ME,MTEK,ETP
794,META PLATFORMS INC-CLASS A,FB-RM.ME,FB-RM,Common Stock
795,GARTNER INC,IT-RM.ME,IT-RM,Common Stock
796,DIAMONDBACK ENERGY INC,FANG-RM.ME,FANG-RM,Common Stock
797,OPNU ETF OTKRYTIE US BONDS,OPNU.ME,OPNU,ETP
798,AMHC ETF USA HEALTHCARE,AMHC.ME,AMHC,ETP
799,BALL CORP,BLL-RM.ME,BLL-RM,Common Stock
800,MARKETAXESS HOLDINGS INC,MKTX-RM.ME,MKTX-RM,Common Stock
801,YUM CHINA HOLDINGS INC,YUMC-RM.ME,YUMC-RM,Common Stock
802,US DIVIDEND ARISTOCRATS ETF,FMUS.ME,FMUS,ETP
803,ROCKWELL AUTOMATION INC,ROK-RM.ME,ROK-RM,Common Stock
804,CATALENT INC,CTLT-RM.ME,CTLT-RM,Common Stock
805,SALESFORCE.COM INC,CRM-RM.ME,CRM-RM,Common Stock
806,ALLIANT ENERGY CORP,LNT-RM.ME,LNT-RM,Common Stock
807,OPNR ETF RU STOCKS,OPNR.ME,OPNR,ETP
808,KOPIN CORP,KOPN-RM.ME,KOPN-RM,Common Stock
809,NVR INC,NVR-RM.ME,NVR-RM,Common Stock
810,MICROCHIP TECHNOLOGY INC,MCHP-RM.ME,MCHP-RM,Common Stock
811,WELLS FARGO & CO,WFC-RM.ME,WFC-RM,Common Stock
812,INSEEGO CORP,INSG-RM.ME,INSG-RM,Common Stock
813,DETSKY MIR PJSC,DSKY.ME,DSKY,Common Stock
814,LINCOLN NATIONAL CORP,LNC-RM.ME,LNC-RM,Common Stock
815,BANK ST PETERSBURG PJSC,BSPB.ME,BSPB,Common Stock
816,VONAGE HOLDINGS CORP,VG-RM.ME,VG-RM,Common Stock
817,ALTERYX INC - CLASS A,AYX-RM.ME,AYX-RM,Common Stock
818,APPLIED MATERIALS INC,AMAT-RM.ME,AMAT-RM,Common Stock
819,AMRH ETF ATON HYIELD RUS BO,AMRH.ME,AMRH,ETP
820,LAMB WESTON HOLDINGS INC,LW-RM.ME,LW-RM,Common Stock
821,MICROSOFT CORP,MSFT-RM.ME,MSFT-RM,Common Stock
822,FINEX EM EX-CHINDIA ETF USD,FXEM.ME,FXEM,ETP
823,BOOKING HOLDINGS INC,BKNG-RM.ME,BKNG-RM,Common Stock
824,ITI RUSSIA EQUITY RTS ETF,RUSE.ME,RUSE,ETP
825,O'REILLY AUTOMOTIVE INC,ORLY-RM.ME,ORLY-RM,Common Stock
826,TINKOFF ENV CLEAN TECH,TGRN.ME,TGRN,ETP
827,DAVITA INC,DVA-RM.ME,DVA-RM,Common Stock
828,C.H. ROBINSON WORLDWIDE INC,CHRW-RM.ME,CHRW-RM,Common Stock
829,OZON HOLDINGS PLC - ADR,OZON.ME,OZON,ADR
830,AMDG ETF DIVIDENDS,AMDG.ME,AMDG,ETP
831,AMERICAN EAGLE OUTFITTERS,AEO-RM.ME,AEO-RM,Common Stock
832,LENTA INTERNATIONAL CO PJSC,LENT.ME,LENT,Common Stock
833,BRISTOL-MYERS SQUIBB CO,BMY-RM.ME,BMY-RM,Common Stock
834,ROLLINS INC,ROL-RM.ME,ROL-RM,Common Stock
835,ONEOK INC,OKE-RM.ME,OKE-RM,Common Stock
836,UNITED RENTALS INC,URI-RM.ME,URI-RM,Common Stock
837,VUZIX CORP,VUZI-RM.ME,VUZI-RM,Common Stock
838,PITNEY BOWES INC,PBI-RM.ME,PBI-RM,Common Stock
839,ROSTELECOM PJSC,RTKM.ME,RTKM,Common Stock
840,VTBY ETF EVROBONDS EURO,VTBY.ME,VTBY,ETP
841,NRG ENERGY INC,NRG-RM.ME,NRG-RM,Common Stock
842,CERNER CORP,CERN-RM.ME,CERN-RM,Common Stock
843,FINEX US TIPS UCITS-RUB HDGD,FXIP.ME,FXIP,ETP
844,ZEBRA TECHNOLOGIES CORP-CL A,ZBRA-RM.ME,ZBRA-RM,Common Stock
845,BORGWARNER INC,BWA-RM.ME,BWA-RM,Common Stock
846,WALT DISNEY CO/THE,DIS-RM.ME,DIS-RM,Common Stock
847,PPG INDUSTRIES INC,PPG-RM.ME,PPG-RM,Common Stock
848,GAZKON PJSC,GAZC.ME,GAZC,Common Stock
849,LEIDOS HOLDINGS INC,LDOS-RM.ME,LDOS-RM,Common Stock
850,FASTLY INC - CLASS A,FSLY-RM.ME,FSLY-RM,Common Stock
851,ALTRIA GROUP INC,MO-RM.ME,MO-RM,Common Stock
852,URALSKAYA KUZNITSA OAO-BRD,URKZ.ME,URKZ,Common Stock
853,OLD DOMINION FREIGHT LINE,ODFL-RM.ME,ODFL-RM,Common Stock
854,SONY GROUP CORP - SP ADR,SONY-RM.ME,SONY-RM,ADR
855,UNIVERSAL HEALTH SERVICES-B,UHS-RM.ME,UHS-RM,Common Stock
856,FORTUNE BRANDS HOME & SECURI,FBHS-RM.ME,FBHS-RM,Common Stock
857,FASTENAL CO,FAST-RM.ME,FAST-RM,Common Stock
858,XEROX HOLDINGS CORP,XRX-RM.ME,XRX-RM,Common Stock
859,KHIMPROM PJSC,HIMC.ME,HIMC,Common Stock
860,TGK-14 PJSC,TGKN.ME,TGKN,Common Stock
861,PIONEER NATURAL RESOURCES CO,PXD-RM.ME,PXD-RM,Common Stock
862,RSC ENERGIA OJSC,RKKE.ME,RKKE,Common Stock
863,EXELIXIS INC,EXEL-RM.ME,EXEL-RM,Common Stock
864,RAIFFEISEN RQIE ETF,RQIE.ME,RQIE,ETP
865,ACADIA PHARMACEUTICALS INC,ACAD-RM.ME,ACAD-RM,Common Stock
866,SOUTHERN CO/THE,SO-RM.ME,SO-RM,Common Stock
867,CHELYABINSK PIPE PLANT PJSC,CHEP.ME,CHEP,Common Stock
868,DUKE ENERGY CORP,DUK-RM.ME,DUK-RM,Common Stock
869,AMERICAN ELECTRIC POWER,AEP-RM.ME,AEP-RM,Common Stock
870,QIWI PLC-SPONSORED ADR,QIWI.ME,QIWI,ADR
871,PACCAR INC,PCAR-RM.ME,PCAR-RM,Common Stock
872,US BANCORP,USB-RM.ME,USB-RM,Common Stock
873,CME GROUP INC,CME-RM.ME,CME-RM,Common Stock
874,EQUITRANS MIDSTREAM CORP,ETRN-RM.ME,ETRN-RM,Common Stock
875,UBER TECHNOLOGIES INC,UBER-RM.ME,UBER-RM,Common Stock
876,DOVER CORP,DOV-RM.ME,DOV-RM,Common Stock
877,KRASNOKAMSK METAL MESH WORKS,KZMS.ME,KZMS,Common Stock
878,DRAFTKINGS INC - CL A,DKNG-RM.ME,DKNG-RM,Common Stock
879,ITI RUSSIA USD EUROBOND ETF,RUSB.ME,RUSB,ETP
880,ALFA CAPITAL EVROPA 600,AKEU.ME,AKEU,ETP
881,AGILENT TECHNOLOGIES INC,A-RM.ME,A-RM,Common Stock
882,NAUKA-SVYAZ PJSC,NSVZ.ME,NSVZ,Common Stock
883,SOLAREDGE TECHNOLOGIES INC,SEDG-RM.ME,SEDG-RM,Common Stock
884,DOCUSIGN INC,DOCU-RM.ME,DOCU-RM,Common Stock
885,MACY'S INC,M-RM.ME,M-RM,Common Stock
886,TRACTOR SUPPLY COMPANY,TSCO-RM.ME,TSCO-RM,Common Stock
887,IQVIA HOLDINGS INC,IQV-RM.ME,IQV-RM,Common Stock
888,FREEPORT-MCMORAN INC,FCX-RM.ME,FCX-RM,Common Stock
889,TNS ENERGO KUBAN PJSC,KBSB.ME,KBSB,Common Stock
890,INTL BUSINESS MACHINES CORP,IBM-RM.ME,IBM-RM,Common Stock
891,CREDIT BANK OF MOSCOW PJSC,CBOM.ME,CBOM,Common Stock
892,RASPADSKAYA OJSC,RASP.ME,RASP,Common Stock
893,QUANTA SERVICES INC,PWR-RM.ME,PWR-RM,Common Stock
894,SENTINELONE INC -CLASS A,S-RM.ME,S-RM,Common Stock
895,BANK OF NEW YORK MELLON CORP,BK-RM.ME,BK-RM,Common Stock
896,SBERBANK S&P 500,SBSP.ME,SBSP,ETP
897,CNX RESOURCES CORP,CNX-RM.ME,CNX-RM,Common Stock
898,DENTSPLY SIRONA INC,XRAY-RM.ME,XRAY-RM,Common Stock
899,LENNAR CORP-A,LEN-RM.ME,LEN-RM,Common Stock
900,HOLOGIC INC,HOLX-RM.ME,HOLX-RM,Common Stock
901,SWITCH INC - A,SWCH-RM.ME,SWCH-RM,Common Stock
902,ADVANCED MICRO DEVICES,AMD-RM.ME,AMD-RM,Common Stock
903,FINEX FALLEN ANGELS USD,FXFA.ME,FXFA,ETP
904,STARBUCKS CORP,SBUX-RM.ME,SBUX-RM,Common Stock
905,ALROSA PJSC,ALRS.ME,ALRS,Common Stock
906,DOMINO'S PIZZA INC,DPZ-RM.ME,DPZ-RM,Common Stock
907,SYNOPSYS INC,SNPS-RM.ME,SNPS-RM,Common Stock
908,CHEWY INC - CLASS A,CHWY-RM.ME,CHWY-RM,Common Stock
909,PURE STORAGE INC - CLASS A,PSTG-RM.ME,PSTG-RM,Common Stock
910,AUTOMATIC DATA PROCESSING,ADP-RM.ME,ADP-RM,Common Stock
911,MARRIOTT INTERNATIONAL -CL A,MAR-RM.ME,MAR-RM,Common Stock
912,BLINK CHARGING CO,BLNK-RM.ME,BLNK-RM,Common Stock
913,FINEX CASH EQUIVALENTS UCITS,FXMM.ME,FXMM,ETP
914,CONTINENTAL RESOURCES INC/OK,CLR-RM.ME,CLR-RM,Common Stock
915,PULTEGROUP INC,PHM-RM.ME,PHM-RM,Common Stock
916,VSMPO-AVISMA CORP PJSC,VSMO.ME,VSMO,Common Stock
917,YAKUTSKENERGO OJSC,YKEN.ME,YKEN,Common Stock
918,UNIPRO PJSC,UPRO.ME,UPRO,Common Stock
919,VIATRIS INC,VTRS-RM.ME,VTRS-RM,Common Stock
920,PAYCHEX INC,PAYX-RM.ME,PAYX-RM,Common Stock
921,SVETOFOR GROUP JSC,SVET.ME,SVET,Common Stock
922,TRANSDIGM GROUP INC,TDG-RM.ME,TDG-RM,Common Stock
923,PAYCOM SOFTWARE INC,PAYC-RM.ME,PAYC-RM,Common Stock
924,NUTANIX INC - A,NTNX-RM.ME,NTNX-RM,Common Stock
925,PLUG POWER INC,PLUG-RM.ME,PLUG-RM,Common Stock
926,VTB - GOLD FUND EXCHANGE,VTBG.ME,VTBG,ETP
927,GOLDMAN SACHS GROUP INC,GS-RM.ME,GS-RM,Common Stock
928,LAM RESEARCH CORP,LRCX-RM.ME,LRCX-RM,Common Stock
929,CONAGRA BRANDS INC,CAG-RM.ME,CAG-RM,Common Stock
930,BED BATH & BEYOND INC,BBBY-RM.ME,BBBY-RM,Common Stock
931,3M CO,MMM-RM.ME,MMM-RM,Common Stock
932,DEERE & CO,DE-RM.ME,DE-RM,Common Stock
933,EVERSOURCE ENERGY,ES-RM.ME,ES-RM,Common Stock
934,OCCIDENTAL PETROLEUM CORP,OXY-RM.ME,OXY-RM,Common Stock
935,UNITED AIRLINES HOLDINGS INC,UAL-RM.ME,UAL-RM,Common Stock
936,YUM! BRANDS INC,YUM-RM.ME,YUM-RM,Common Stock
937,ANAPLAN INC,PLAN-RM.ME,PLAN-RM,Common Stock
938,MOSENERGO PJSC,MSNG.ME,MSNG,Common Stock
